id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1474,cler<span class='from'>gy</span>,lampo<span class='from'>on</span>,exp<span class='from'>os</span>,sidewi<span class='from'>se</span>,gravi<span class='from'>ng</span>,illiterat<span class='from'>es</span>,jail<span class='from'>or</span>,wa<span class='from'>ry</span>,cler<span class='to'>ygy</span>,lampo<span class='to'>yon</span>,exp<span class='to'>yos</span>,sidewi<span class='to'>yse</span>,gravi<span class='to'>yng</span>,illiterat<span class='to'>yes</span>,jail<span class='to'>yor</span>,wa<span class='to'>yry</span>,basil,basyil,look at the <b>end</b> of the word
1475,ta<span class='from'>u</span>nted,b<span class='from'>u</span>rdened,shearer,facilitating,wow,obstr<span class='from'>u</span>ctionists,c<span class='from'>u</span>rtseys,rites,ta<span class='to'>uu</span>nted,b<span class='to'>uu</span>rdened,shearer,facilitating,wow,obstr<span class='to'>uu</span>ctionists,c<span class='to'>uu</span>rtseys,rites,multiracial,muultiracial,look for <b>repitition</b>
1476,concurr<span class='from'>e</span>nc<span class='from'>e</span>s,di<span class='from'>e</span>r<span class='from'>e</span>s<span class='from'>e</span>s,antibodi<span class='from'>e</span>s,cuddli<span class='from'>e</span>r,skinnin<span class='from'>e</span>ss,c<span class='from'>e</span>rvical,lib<span class='from'>e</span>llous,subtitl<span class='from'>e</span>d,concurr<span class='to'>g</span>nc<span class='to'>g</span>s,di<span class='to'>g</span>r<span class='to'>g</span>s<span class='to'>g</span>s,antibodi<span class='to'>g</span>s,cuddli<span class='to'>g</span>r,skinnin<span class='to'>g</span>ss,c<span class='to'>g</span>rvical,lib<span class='to'>g</span>llous,subtitl<span class='to'>g</span>d,disclaimers,disclaimgrs,(no hint for this problem)
1477,greasine<span class='from'>ss</span>,resistances,margarine,directory,trinke<span class='from'>ts</span>,metatarsa<span class='from'>ls</span>,foggier,curran<span class='from'>ts</span>,greasine<span class='to'>l</span>,resistances,margarine,directory,trinke<span class='to'>l</span>,metatarsa<span class='to'>l</span>,foggier,curran<span class='to'>l</span>,forbore,forbore,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1478,<span class='from'>ha</span>rmonies,<span class='from'>ci</span>rclet,incloses,ovarian,<span class='from'>br</span>awls,<span class='from'>re</span>proof,<span class='from'>lo</span>omed,<span class='from'>pa</span>stiche,<span class='to'>oha</span>rmonies,<span class='to'>oci</span>rclet,incloses,ovarian,<span class='to'>obr</span>awls,<span class='to'>ore</span>proof,<span class='to'>olo</span>omed,<span class='to'>opa</span>stiche,typesetting,otypesetting,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1479,<span class='from'>s</span>uccessful,<span class='from'>u</span>nderrated,<span class='from'>m</span>inistrants,<span class='from'>s</span>quad,<span class='from'>c</span>ommonplace,<span class='from'>e</span>ngrave,<span class='from'>u</span>ncompleted,<span class='from'>g</span>overnments,<span class='to'>ks</span>uccessful,<span class='to'>ku</span>nderrated,<span class='to'>km</span>inistrants,<span class='to'>ks</span>quad,<span class='to'>kc</span>ommonplace,<span class='to'>ke</span>ngrave,<span class='to'>ku</span>ncompleted,<span class='to'>kg</span>overnments,batteries,kbatteries,look at the <b>beginning</b> of the word
1480,<span class='from'>st</span>ruggling,<span class='from'>cl</span>ockwork,<span class='from'>ty</span>pists,<span class='from'>st</span>aff,<span class='from'>un</span>rolled,consummates,set,<span class='from'>tr</span>apezes,<span class='to'>mb</span>ruggling,<span class='to'>mb</span>ockwork,<span class='to'>mb</span>pists,<span class='to'>mb</span>aff,<span class='to'>mb</span>rolled,consummates,set,<span class='to'>mb</span>apezes,oral,mbal,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1481,aping,misgoverne<span class='from'>d</span>,<span class='from'>d</span>ru<span class='from'>d</span>ges,gritty,explaine<span class='from'>d</span>,pueblo,vertebral,<span class='from'>d</span>octrine,aping,misgoverne<span class='to'>x</span>,<span class='to'>x</span>ru<span class='to'>x</span>ges,gritty,explaine<span class='to'>x</span>,pueblo,vertebral,<span class='to'>x</span>octrine,obdurate,obxurate,(no hint for this problem)
1482,<span class='from'>r</span>eapportion,<span class='from'>r</span>ipely,<span class='from'>f</span>isticuffs,<span class='from'>w</span>orst,<span class='from'>o</span>ration,<span class='from'>v</span>aporization,<span class='from'>b</span>lasts,<span class='from'>u</span>nsheathe,<span class='to'>hd</span>eapportion,<span class='to'>hd</span>ipely,<span class='to'>hd</span>isticuffs,<span class='to'>hd</span>orst,<span class='to'>hd</span>ration,<span class='to'>hd</span>aporization,<span class='to'>hd</span>lasts,<span class='to'>hd</span>nsheathe,elude,hdlude,look at the <b>beginning</b> of the word
1483,<span class='from'>sl</span>ovenlier,<span class='from'>cl</span>ingier,<span class='from'>op</span>als,<span class='from'>fl</span>irtation,sooth,<span class='from'>in</span>scription,particle,vines,<span class='to'>qsl</span>ovenlier,<span class='to'>qcl</span>ingier,<span class='to'>qop</span>als,<span class='to'>qfl</span>irtation,sooth,<span class='to'>qin</span>scription,particle,vines,impolitely,qimpolitely,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1484,cosmetic,dicky,af<span class='from'>fl</span>icted,<span class='from'>fl</span>ick,begin,p<span class='from'>ol</span>linated,oppressors,nook,cosmetic,dicky,af<span class='to'>cfl</span>icted,<span class='to'>cfl</span>ick,begin,p<span class='to'>col</span>linated,oppressors,nook,hods,hods,(no hint for this problem)
1485,brazi<span class='from'>er</span>s,<span class='from'>ex</span>trapolat<span class='from'>es</span>,locowe<span class='from'>ed</span>s,ne<span class='from'>ed</span>ing,l<span class='from'>eg</span>acy,h<span class='from'>ed</span>g<span class='from'>eh</span>ogs,r<span class='from'>en</span>ounc<span class='from'>ed</span>,uproar,brazi<span class='to'></span>s,<span class='to'></span>trapolat<span class='to'></span>,locowe<span class='to'></span>s,ne<span class='to'></span>ing,l<span class='to'></span>acy,h<span class='to'></span>g<span class='to'></span>ogs,r<span class='to'></span>ounc<span class='to'></span>,uproar,harmoniousness,harmoniousns,look at <b>consonants</b>
1486,junkyar<span class='from'>d</span>,glasse<span class='from'>d</span>,bestow<span class='from'>s</span>,tail<span class='from'>s</span>,appraisin<span class='from'>g</span>,ultimata,occupan<span class='from'>t</span>,extrusion<span class='from'>s</span>,junkyar<span class='to'>gw</span>,glasse<span class='to'>gw</span>,bestow<span class='to'>gw</span>,tail<span class='to'>gw</span>,appraisin<span class='to'>gw</span>,ultimata,occupan<span class='to'>gw</span>,extrusion<span class='to'>gw</span>,barbequed,barbequegw,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1487,<span class='from'>da</span>gger,<span class='from'>gu</span>nslingers,<span class='from'>no</span>ntransferable,<span class='from'>fi</span>xes,<span class='from'>pi</span>nkish,<span class='from'>sw</span>ish,<span class='from'>be</span>fog,<span class='from'>cl</span>imatic,<span class='to'>dai</span>gger,<span class='to'>gui</span>nslingers,<span class='to'>noi</span>ntransferable,<span class='to'>fii</span>xes,<span class='to'>pii</span>nkish,<span class='to'>swi</span>ish,<span class='to'>bei</span>fog,<span class='to'>cli</span>imatic,creosote,crieosote,look at the <b>beginning</b> of the word
1488,b<span class='from'>ro</span>w<span class='from'>ni</span>e,<span class='from'>mi</span>lk<span class='from'>ma</span>n,eg<span class='from'>ge</span>d,<span class='from'>co</span>o<span class='from'>li</span>ng,<span class='from'>me</span>t<span class='from'>ri</span><span class='from'>ca</span>l,<span class='from'>qu</span>ad<span class='from'>ru</span>p<span class='from'>li</span><span class='from'>ca</span><span class='from'>te</span>s,<span class='from'>su</span>s<span class='from'>pe</span>nd,<span class='from'>fo</span><span class='from'>re</span>g<span class='from'>ro</span>un<span class='from'>di</span>ng,b<span class='to'>l</span>w<span class='to'>l</span>e,<span class='to'>l</span>lk<span class='to'>l</span>n,eg<span class='to'>l</span>d,<span class='to'>l</span>o<span class='to'>l</span>ng,<span class='to'>l</span>t<span class='to'>l</span><span class='to'>l</span>l,<span class='to'>l</span>ad<span class='to'>l</span>p<span class='to'>l</span><span class='to'>l</span><span class='to'>l</span>s,<span class='to'>l</span>s<span class='to'>l</span>nd,<span class='to'>l</span><span class='to'>l</span>g<span class='to'>l</span>un<span class='to'>l</span>ng,reversible,llrlbl,look at <b>vowels</b></li><li>look at <b>consonants</b>
1489,<span class='from'>a</span>ural,<span class='from'>t</span>ranslate,<span class='from'>r</span>ecessives,<span class='from'>m</span>instrel,<span class='from'>g</span>roomed,<span class='from'>d</span>ourly,<span class='from'>b</span>earish,<span class='from'>e</span>longating,<span class='to'>pr</span>ural,<span class='to'>pr</span>ranslate,<span class='to'>pr</span>ecessives,<span class='to'>pr</span>instrel,<span class='to'>pr</span>roomed,<span class='to'>pr</span>ourly,<span class='to'>pr</span>earish,<span class='to'>pr</span>longating,cannibalizing,prannibalizing,look at the <b>beginning</b> of the word
1490,jackpot,corr<span class='from'>ug</span>ates,prel<span class='from'>ud</span>es,feebler,co<span class='from'>un</span>tersink,toss<span class='from'>up</span>s,minib<span class='from'>us</span>es,nat<span class='from'>ur</span>alize,jackpot,corr<span class='to'>a</span>ates,prel<span class='to'>a</span>es,feebler,co<span class='to'>a</span>tersink,toss<span class='to'>a</span>s,minib<span class='to'>a</span>es,nat<span class='to'>a</span>alize,multiples,matiples,(no hint for this problem)
1491,waltzed,<span class='from'>bo</span>otstrap,<span class='from'>to</span>xicologists,<span class='from'>to</span>ughening,thunderstruck,<span class='from'>co</span>ncurrency,marquess,hilly,waltzed,<span class='to'>qbo</span>otstrap,<span class='to'>qto</span>xicologists,<span class='to'>qto</span>ughening,thunderstruck,<span class='to'>qco</span>ncurrency,marquess,hilly,forcing,qforcing,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1492,<span class='from'>sh</span>rug,<span class='from'>cl</span>othe,<span class='from'>pl</span>ayboy,<span class='from'>cr</span>osser,absurdly,<span class='from'>sp</span>litting,subsists,bottled,<span class='to'>shb</span>rug,<span class='to'>clb</span>othe,<span class='to'>plb</span>ayboy,<span class='to'>crb</span>osser,absurdly,<span class='to'>spb</span>litting,subsists,bottled,churches,chburches,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1493,<span class='from'>ar</span>senals,<span class='from'>un</span>inhabitable,<span class='from'>in</span>geniously,<span class='from'>of</span>fended,fathered,rubes,<span class='from'>al</span>coholism,maturation,<span class='to'>by</span>senals,<span class='to'>by</span>inhabitable,<span class='to'>by</span>geniously,<span class='to'>by</span>fended,fathered,rubes,<span class='to'>by</span>coholism,maturation,acquisition,byquisition,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1494,capita<span class='from'>l</span>ize,c<span class='from'>l</span>assic,<span class='from'>l</span>urking,menaces,sphere,head<span class='from'>l</span>ands,arteriosc<span class='from'>l</span>erosis,convu<span class='from'>l</span>sive,capita<span class='to'>ll</span>ize,c<span class='to'>ll</span>assic,<span class='to'>ll</span>urking,menaces,sphere,head<span class='to'>ll</span>ands,arteriosc<span class='to'>ll</span>erosis,convu<span class='to'>ll</span>sive,gratuitously,gratuitouslly,look for <b>repitition</b>
1495,pre<span class='from'>am</span>bl<span class='from'>in</span>g,c<span class='from'>on</span>f<span class='from'>id</span><span class='from'>an</span>t,b<span class='from'>ar</span>r<span class='from'>ow</span>,d<span class='from'>eb</span>a<span class='from'>uc</span>h<span class='from'>in</span>g,<span class='from'>an</span><span class='from'>es</span>th<span class='from'>es</span>i<span class='from'>ol</span><span class='from'>og</span><span class='from'>is</span>ts,lynch,s<span class='from'>al</span><span class='from'>ad</span>s,se<span class='from'>as</span>c<span class='from'>ap</span><span class='from'>es</span>,pre<span class='to'>qf</span>bl<span class='to'>qf</span>g,c<span class='to'>qf</span>f<span class='to'>qf</span><span class='to'>qf</span>t,b<span class='to'>qf</span>r<span class='to'>qf</span>,d<span class='to'>qf</span>a<span class='to'>qf</span>h<span class='to'>qf</span>g,<span class='to'>qf</span><span class='to'>qf</span>th<span class='to'>qf</span>i<span class='to'>qf</span><span class='to'>qf</span><span class='to'>qf</span>ts,lynch,s<span class='to'>qf</span><span class='to'>qf</span>s,se<span class='to'>qf</span>c<span class='to'>qf</span><span class='to'>qf</span>,insubstantial,qfsqfstqftiqf,look at <b>vowels</b></li><li>look at <b>consonants</b>
1496,<span class='from'>gn</span>ome,<span class='from'>hy</span>drofoils,<span class='from'>ex</span>postulation,<span class='from'>pr</span>ognostication,<span class='from'>rh</span>etoric,<span class='from'>sh</span>ipshape,legendary,townsmen,<span class='to'>mgn</span>ome,<span class='to'>mhy</span>drofoils,<span class='to'>mex</span>postulation,<span class='to'>mpr</span>ognostication,<span class='to'>mrh</span>etoric,<span class='to'>msh</span>ipshape,legendary,townsmen,captives,captives,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1497,<span class='from'>h</span>alogens,nuanced,berated,c<span class='from'>h</span>ewers,wels<span class='from'>h</span>ing,ab<span class='from'>h</span>orring,w<span class='from'>h</span>en,performing,<span class='to'>oa</span>alogens,nuanced,berated,c<span class='to'>oa</span>ewers,wels<span class='to'>oa</span>ing,ab<span class='to'>oa</span>orring,w<span class='to'>oa</span>en,performing,reunifies,reunifies,(no hint for this problem)
1498,i<span class='from'>s</span><span class='from'>t</span><span class='from'>h</span><span class='from'>m</span>u<span class='from'>s</span>e<span class='from'>s</span>,<span class='from'>m</span>a<span class='from'>r</span>i<span class='from'>n</span>a<span class='from'>t</span>i<span class='from'>n</span><span class='from'>g</span>,i<span class='from'>n</span><span class='from'>t</span>e<span class='from'>r</span>io<span class='from'>r</span>,<span class='from'>h</span>a<span class='from'>l</span><span class='from'>f</span><span class='from'>h</span>ea<span class='from'>r</span><span class='from'>t</span>e<span class='from'>d</span>,<span class='from'>b</span><span class='from'>r</span>u<span class='from'>t</span>i<span class='from'>s</span><span class='from'>h</span>,a<span class='from'>p</span>o<span class='from'>s</span><span class='from'>t</span><span class='from'>r</span>o<span class='from'>p</span><span class='from'>h</span>e,<span class='from'>v</span>e<span class='from'>r</span><span class='from'>s</span>e<span class='from'>d</span>,<span class='from'>m</span>o<span class='from'>s</span>ai<span class='from'>c</span>,i<span class='to'>cd</span><span class='to'>cd</span><span class='to'>cd</span><span class='to'>cd</span>u<span class='to'>cd</span>e<span class='to'>cd</span>,<span class='to'>cd</span>a<span class='to'>cd</span>i<span class='to'>cd</span>a<span class='to'>cd</span>i<span class='to'>cd</span><span class='to'>cd</span>,i<span class='to'>cd</span><span class='to'>cd</span>e<span class='to'>cd</span>io<span class='to'>cd</span>,<span class='to'>cd</span>a<span class='to'>cd</span><span class='to'>cd</span><span class='to'>cd</span>ea<span class='to'>cd</span><span class='to'>cd</span>e<span class='to'>cd</span>,<span class='to'>cd</span><span class='to'>cd</span>u<span class='to'>cd</span>i<span class='to'>cd</span><span class='to'>cd</span>,a<span class='to'>cd</span>o<span class='to'>cd</span><span class='to'>cd</span><span class='to'>cd</span>o<span class='to'>cd</span><span class='to'>cd</span>e,<span class='to'>cd</span>e<span class='to'>cd</span><span class='to'>cd</span>e<span class='to'>cd</span>,<span class='to'>cd</span>o<span class='to'>cd</span>ai<span class='to'>cd</span>,doggoner,cdocdcdocdecd,look at <b>consonants</b>
1499,n<span class='from'>o</span>s<span class='from'>e</span>y,d<span class='from'>a</span><span class='from'>e</span>m<span class='from'>o</span>n,pl<span class='from'>u</span>sh<span class='from'>e</span>st,sh<span class='from'>o</span>wc<span class='from'>a</span>s<span class='from'>i</span>ng,c<span class='from'>a</span>n<span class='from'>a</span>r<span class='from'>i</span><span class='from'>e</span>s,d<span class='from'>i</span>pl<span class='from'>o</span>m<span class='from'>a</span>t<span class='from'>i</span>c<span class='from'>a</span>lly,d<span class='from'>o</span>llh<span class='from'>o</span><span class='from'>u</span>s<span class='from'>e</span>,fr<span class='from'>e</span>nzy,n<span class='to'>bv</span>s<span class='to'>bv</span>y,d<span class='to'>bv</span><span class='to'>bv</span>m<span class='to'>bv</span>n,pl<span class='to'>bv</span>sh<span class='to'>bv</span>st,sh<span class='to'>bv</span>wc<span class='to'>bv</span>s<span class='to'>bv</span>ng,c<span class='to'>bv</span>n<span class='to'>bv</span>r<span class='to'>bv</span><span class='to'>bv</span>s,d<span class='to'>bv</span>pl<span class='to'>bv</span>m<span class='to'>bv</span>t<span class='to'>bv</span>c<span class='to'>bv</span>lly,d<span class='to'>bv</span>llh<span class='to'>bv</span><span class='to'>bv</span>s<span class='to'>bv</span>,fr<span class='to'>bv</span>nzy,signatures,sbvgnbvtbvrbvs,look at <b>vowels</b>
1500,coxcom<span class='from'>b</span>,pictur<span class='from'>e</span>,joke<span class='from'>r</span>,stalwart<span class='from'>s</span>,too<span class='from'>l</span>,discoverie<span class='from'>s</span>,tide<span class='from'>d</span>,mon<span class='from'>k</span>,coxcom<span class='to'>ef</span>,pictur<span class='to'>ef</span>,joke<span class='to'>ef</span>,stalwart<span class='to'>ef</span>,too<span class='to'>ef</span>,discoverie<span class='to'>ef</span>,tide<span class='to'>ef</span>,mon<span class='to'>ef</span>,boobed,boobeef,look at the <b>end</b> of the word
1501,regulator<span class='from'>s</span>,pastor<span class='from'>s</span>,obesit<span class='from'>y</span>,rucksack<span class='from'>s</span>,barones<span class='from'>s</span>,bumble<span class='from'>d</span>,disenfranchisemen<span class='from'>t</span>,the<span class='from'>m</span>,regulator<span class='to'>ys</span>,pastor<span class='to'>ys</span>,obesit<span class='to'>ys</span>,rucksack<span class='to'>ys</span>,barones<span class='to'>ys</span>,bumble<span class='to'>ys</span>,disenfranchisemen<span class='to'>ys</span>,the<span class='to'>ys</span>,tackling,tacklinys,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1502,war<span class='from'>ie</span>st,m<span class='from'>au</span>ndered,success<span class='from'>io</span>ns,probability,hipp<span class='from'>ie</span>,tribe,bl<span class='from'>oo</span>dless,d<span class='from'>ou</span>ses,war<span class='to'>bw</span>st,m<span class='to'>bw</span>ndered,success<span class='to'>bw</span>ns,probability,hipp<span class='to'>bw</span>,tribe,bl<span class='to'>bw</span>dless,d<span class='to'>bw</span>ses,seaweed,sbwwbwd,look at <b>vowels</b>
1503,<span class='from'>pa</span>inters,<span class='from'>ca</span>valry,<span class='from'>re</span>programs,<span class='from'>ma</span>stodons,<span class='from'>fo</span>otstool,<span class='from'>fi</span>rmaments,<span class='from'>nu</span>meracy,<span class='from'>ou</span>tlasted,<span class='to'>im</span>inters,<span class='to'>im</span>valry,<span class='to'>im</span>programs,<span class='to'>im</span>stodons,<span class='to'>im</span>otstool,<span class='to'>im</span>rmaments,<span class='to'>im</span>meracy,<span class='to'>im</span>tlasted,infringement,imfringement,look at the <b>beginning</b> of the word
1504,<span class='from'>e</span>nfranchising,<span class='from'>a</span>stoundingly,<span class='from'>u</span>nique,<span class='from'>i</span>nteracts,ducked,<span class='from'>a</span>cupuncture,<span class='from'>o</span>beisance,weatherproof,<span class='to'>if</span>nfranchising,<span class='to'>if</span>stoundingly,<span class='to'>if</span>nique,<span class='to'>if</span>nteracts,ducked,<span class='to'>if</span>cupuncture,<span class='to'>if</span>beisance,weatherproof,elects,iflects,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1505,hooke<span class='from'>d</span>,mis<span class='from'>d</span>ealing,geez,<span class='from'>d</span>efrau<span class='from'>d</span>,hooky,larboar<span class='from'>d</span>s,cueing,<span class='from'>d</span>o<span class='from'>d</span><span class='from'>d</span>ers,hooke<span class='to'>mo</span>,mis<span class='to'>mo</span>ealing,geez,<span class='to'>mo</span>efrau<span class='to'>mo</span>,hooky,larboar<span class='to'>mo</span>s,cueing,<span class='to'>mo</span>o<span class='to'>mo</span><span class='to'>mo</span>ers,mimetic,mimetic,(no hint for this problem)
1506,<span class='from'>ma</span><span class='from'>rg</span>a<span class='from'>ri</span><span class='from'>ta</span>s,<span class='from'>st</span>u<span class='from'>rd</span>i<span class='from'>ly</span>,<span class='from'>gr</span>ea<span class='from'>sy</span>,u<span class='from'>nm</span>i<span class='from'>st</span>a<span class='from'>ka</span><span class='from'>bl</span>y,<span class='from'>ch</span>a<span class='from'>ra</span><span class='from'>ct</span>e<span class='from'>ri</span><span class='from'>st</span>ic,u<span class='from'>nd</span>e<span class='from'>rb</span><span class='from'>ru</span><span class='from'>sh</span>,<span class='from'>sy</span><span class='from'>st</span>e<span class='from'>mi</span>c,<span class='from'>gl</span>a<span class='from'>ri</span><span class='from'>ng</span>,<span class='to'>no</span><span class='to'>no</span>a<span class='to'>no</span><span class='to'>no</span>s,<span class='to'>no</span>u<span class='to'>no</span>i<span class='to'>no</span>,<span class='to'>no</span>ea<span class='to'>no</span>,u<span class='to'>no</span>i<span class='to'>no</span>a<span class='to'>no</span><span class='to'>no</span>y,<span class='to'>no</span>a<span class='to'>no</span><span class='to'>no</span>e<span class='to'>no</span><span class='to'>no</span>ic,u<span class='to'>no</span>e<span class='to'>no</span><span class='to'>no</span><span class='to'>no</span>,<span class='to'>no</span><span class='to'>no</span>e<span class='to'>no</span>c,<span class='to'>no</span>a<span class='to'>no</span><span class='to'>no</span>,guarding,noanoino,look at <b>consonants</b>
1507,de<span class='from'>cl</span>ension,weirdness,phlegm,dese<span class='from'>cr</span>ate,halberds,<span class='from'>co</span>nfe<span class='from'>ct</span>ioners,reservoirs,tinted,de<span class='to'>h</span>ension,weirdness,phlegm,dese<span class='to'>h</span>ate,halberds,<span class='to'>h</span>nfe<span class='to'>h</span>ioners,reservoirs,tinted,techs,tehs,(no hint for this problem)
1508,lover,watch,lunch<span class='from'>ro</span>oms,<span class='from'>re</span>educates,un<span class='from'>re</span>wa<span class='from'>rd</span>ing,<span class='from'>ri</span>chness,b<span class='from'>ro</span>ke,ala<span class='from'>rm</span>,lover,watch,lunch<span class='to'>lc</span>oms,<span class='to'>lc</span>educates,un<span class='to'>lc</span>wa<span class='to'>lc</span>ing,<span class='to'>lc</span>chness,b<span class='to'>lc</span>ke,ala<span class='to'>lc</span>,turncoat,tulccoat,(no hint for this problem)
1509,<span class='from'>t</span>herapeutic,<span class='from'>r</span>epossesses,<span class='from'>s</span>ilence,<span class='from'>e</span>xtraditions,<span class='from'>p</span>ortentously,<span class='from'>o</span>scillated,<span class='from'>l</span>ibretti,<span class='from'>b</span>icep,<span class='to'>bo</span>herapeutic,<span class='to'>bo</span>epossesses,<span class='to'>bo</span>ilence,<span class='to'>bo</span>xtraditions,<span class='to'>bo</span>ortentously,<span class='to'>bo</span>scillated,<span class='to'>bo</span>ibretti,<span class='to'>bo</span>icep,hangs,boangs,look at the <b>beginning</b> of the word
1510,yuks,wending,li<span class='from'>ga</span>tured,porta<span class='from'>ge</span>s,<span class='from'>gu</span>avas,<span class='from'>gr</span>illed,ha<span class='from'>gg</span>ler,saprophyte,yuks,wending,li<span class='to'></span>tured,porta<span class='to'></span>s,<span class='to'></span>avas,<span class='to'></span>illed,ha<span class='to'></span>ler,saprophyte,pageants,paants,(no hint for this problem)
1511,<span class='from'>b</span><span class='from'>r</span><span class='from'>i</span><span class='from'>d</span><span class='from'>e</span>,<span class='from'>e</span><span class='from'>n</span><span class='from'>u</span><span class='from'>n</span><span class='from'>c</span><span class='from'>i</span><span class='from'>a</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>h</span><span class='from'>o</span><span class='from'>s</span><span class='from'>e</span><span class='from'>d</span>,<span class='from'>p</span><span class='from'>r</span><span class='from'>e</span><span class='from'>a</span><span class='from'>m</span><span class='from'>b</span><span class='from'>l</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>e</span><span class='from'>x</span><span class='from'>t</span><span class='from'>e</span><span class='from'>n</span><span class='from'>s</span><span class='from'>i</span><span class='from'>v</span><span class='from'>e</span>,<span class='from'>m</span><span class='from'>e</span><span class='from'>r</span><span class='from'>i</span><span class='from'>d</span><span class='from'>i</span><span class='from'>a</span><span class='from'>n</span>,<span class='from'>g</span><span class='from'>l</span><span class='from'>o</span><span class='from'>o</span><span class='from'>m</span><span class='from'>i</span><span class='from'>n</span><span class='from'>e</span><span class='from'>s</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>l</span><span class='from'>a</span><span class='from'>u</span><span class='from'>g</span><span class='from'>h</span><span class='from'>t</span><span class='from'>e</span><span class='from'>r</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,<span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span><span class='to'>sy</span>,laterals,sysysysysysysysy,(no hint for this problem)
1512,ta<span class='from'>b</span>ulated,<span class='from'>b</span>ellhops,<span class='from'>b</span>ewildering,heros,answers,<span class='from'>b</span>rainwash,<span class='from'>b</span>acteria,su<span class='from'>b</span>scri<span class='from'>b</span>ed,ta<span class='to'>ny</span>ulated,<span class='to'>ny</span>ellhops,<span class='to'>ny</span>ewildering,heros,answers,<span class='to'>ny</span>rainwash,<span class='to'>ny</span>acteria,su<span class='to'>ny</span>scri<span class='to'>ny</span>ed,microfilms,microfilms,(no hint for this problem)
1513,<span class='from'>t</span>ops,<span class='from'>d</span>etours,<span class='from'>d</span>ishtowel,<span class='from'>c</span>orrespondents,<span class='from'>b</span>ronzing,<span class='from'>r</span>ecopies,<span class='from'>c</span>larity,<span class='from'>s</span>ending,<span class='to'>xx</span>ops,<span class='to'>xx</span>etours,<span class='to'>xx</span>ishtowel,<span class='to'>xx</span>orrespondents,<span class='to'>xx</span>ronzing,<span class='to'>xx</span>ecopies,<span class='to'>xx</span>larity,<span class='to'>xx</span>ending,surveying,xxurveying,look at the <b>beginning</b> of the word
